blog_name,url,feed_url,category,priority,active,description,tags
colah's blog,https://colah.github.io,https://colah.github.io/rss,other,medium,true,"Writing rough notes allows me share more content, since polishing takes lots of time.
                            While I hope it's useful,
                            it's
                           ","transformer,circuits"
Latest articles about machine learning,https://distill.pub,https://distill.pub/rss.xml,other,medium,true,Articles about Machine Learning,"distill,prize,submit"
Lil'Log,https://lilianweng.github.io,https://lilianweng.github.io/index.xml,ml,medium,true,Document my learning notes.,"deep-learning,ai,model,training,dataset"
ruder.io,https://ruder.io,https://www.ruder.io/rss/,ml,medium,true,A blog about natural language processing and machine learning.,"machine-learning,deep-learning,ai,model,training"
The Gradient,https://thegradient.pub,https://thegradient.pub/rss/,ml,medium,true,A digital publication about artificial intelligence and the future.,"ai,ethics,after,orthogonality,virtue"
Machine Learning Mastery,https://machinelearningmastery.com,https://feeds.feedburner.com/MachineLearningMastery,ml,medium,true,Making developers awesome at machine learning.,"machine-learning,deep-learning,neural-network,ai,artificial-intelligence"
www.fast.ai,https://www.fast.ai/posts,,other,medium,true,자동 분석 실패: 404 Client Error: Not Found for url: https://www.fast.ai/posts/,
sebastianruder.com,https://sebastianruder.com,,other,medium,true,"자동 분석 실패: HTTPConnectionPool(host='ruder.io', port=80): Read timed out. (read timeout=15)",
"Explosion · Developer tools and consulting for AI, Machine Learning and NLP",https://explosion.ai/blog,https://explosion.ai/feed,tech,medium,true,"Explosion is a software company specializing in developer tools and tailored solutions for Artificial Intelligence and Natural Language Processing. We’re the makers of spaCy, one of the leading open-s","machine-learning,ai,model,art,visual"
Towards Data Science,https://towardsdatascience.com,https://towardsdatascience.com/feed/,ml,medium,true,"Your home for data science and AI. The world’s leading publication for data science, data analytics, data engineering, machine learning, and artificial intelligence professionals.","deep-learning,ai,artificial-intelligence,pytorch,model"
ai.plainenglish.io,https://ai.plainenglish.io,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://ai.plainenglish.io/,
medium.com,https://medium.com/tensorflow,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://medium.com/tensorflow,
medium.com,https://medium.com/pytorch,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://medium.com/pytorch,
medium.com,https://medium.com/google-developers,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://medium.com/google-developers,
medium.com,https://medium.com/@karpathy,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://medium.com/@karpathy,
Paperspace by DigitalOcean Blog,https://blog.paperspace.com,https://blog.paperspace.com/rss/,ml,medium,true,"Tutorials, sample apps, and more created by the Paperspace internal research team and community","deep-learning,ai,artificial-intelligence,model,training"
Comprehensive ML and GenAI articles from Weights & Biases,https://wandb.ai/site/articles,,art,medium,true,Discover the important strategies and approaches companies are using in LM and generative AI app development projects.,"art,app,comply,applicable,regulations"
neptune.ai,https://neptune.ai/blog,https://neptune.ai/feed,ml,medium,true,"Blog for ML/AI practicioners with articles about LLMOps. You'll find here guides, tutorials, case studies, tools reviews, and more.","ai,model,training,art,tech"
Kaggle,https://www.kaggle.com/discussions,,ml,medium,true,"Kaggle Discussions: Community forum and topics about machine learning, data science, big data analytics.","machine-learning,data,machine,learning,science"
"Colossal: Explore contemporary art, craft, photography, and the natural world.",https://www.thisiscolossal.com,https://www.thisiscolossal.com/feed/,art,medium,true,Colossal is an independent online art magazine celebrating visual culture since 2010. Based in Chicago.,"ai,art,design,creative,illustration"
It's Nice That,https://www.itsnicethat.com,http://feeds2.feedburner.com/itsnicethat/SlXC,art,medium,true,Inspiring Creativity,"ai,art,design,creative,illustration"
"CreativeApplications.Net – Technology, Society, and Critical Making (Since 2008)",https://www.creativeapplications.net,,ml,medium,true,"Driving the conversations about technology, society and critical making.","ai,art,photography,digital,tech"
"your first source for architecture, design & art news",https://www.designboom.com,https://www.designboom.com/feed,ml,medium,true,est. 1999 designboom is the first and most popular digital magazine for architecture & design culture. daily news for a professional and creative audience.,"ai,see,sample,daily,weekly"
For Web Designers and Developers,https://www.awwwards.com/blog,,other,medium,true,"For Web Designers and Developers. We cover a wide range of topics such as Web Design, Graphic Design, Photography, Art, Illustration...","awards,sites,winners,nominees,day"
Stories—the Design Blog by Dribbble,https://dribbble.com/stories,https://dribbble.com/stories.rss,art,medium,true,"Stories about inspiring designers, meetups, and everything design from Dribbble, your best resource to discover and connect with designers worldwide.","art,design,development,code,get"
"The Creative Edge, a design blog by 99designs",https://99designs.com/blog,,art,medium,true,"Whether you are a designer or an entrepreneur, The Creative Edge is the best place to get inspired and learn about design. Check out our tips, tutorials and advice on graphic design, logo design, free","design,creative,edge,create,grow"
Where creativity meets technology,https://www.creativebloq.com,https://www.creativebloq.com/feeds.xml,art,medium,true,"Daily inspiration for creative people. Fresh thinking, expert tips and tutorials to supercharge your creative muscles.","art,design,subscribe,issue,imaginefx"
"design, inspiration, UX career",https://abduzeedo.com,https://abduzeedo.com/rss.xml,art,medium,true,"abdz. is a collective of individual writers sharing articles about design, photography, and UX as well as tutorials for Photoshop and other tools","ai,art,design,illustration,visual"
www.siteinspire.com,https://www.siteinspire.com/blog,,other,medium,true,자동 분석 실패: 429 Client Error: Too Many Requests for url: https://www.siteinspire.com/blog,
Brand New,https://www.underconsideration.com/brandnew,https://www.underconsideration.com/brandnew/feed/thefollowup,art,medium,true,Opinions on corporate and brand identity work,"ai,art,design,creative,gallery"
eyeondesign.aiga.org,https://eyeondesign.aiga.org,,other,medium,true,"자동 분석 실패: HTTPSConnectionPool(host='eyeondesign.aiga.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)')))",
www.designweek.co.uk,https://www.designweek.co.uk,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://www.designweek.co.uk/,
Thinking,https://www.ideo.com/blog,,art,medium,true,What we got right—and wrong—about our culinary vision for 2025.,"ai,art,design,creative,technology"
medium.com,https://medium.com/thinking-design,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://medium.com/thinking-design,
uxplanet.org,https://uxplanet.org,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://uxplanet.org/,
uxdesign.cc,https://uxdesign.cc,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://uxdesign.cc/,
www.toptal.com,https://www.toptal.com/designers/blog,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://www.toptal.com/designers/blog,
Miro,https://www.invisionapp.com/inside-design,,tech,medium,true,"Speed up product development from ideation to launch. Align teams, break tool silos, and ship what customers need in one AI-powered visual platform.","ai,art,design,visual,app"
Smashing Magazine,https://www.smashingmagazine.com/category/design,https://www.smashingmagazine.com/categories/design/index.xml,art,medium,true,"Magazine on CSS, JavaScript, front-end, accessibility, UX and design. For developers, designers and front-end engineers.","ai,design,thought,designer,guide"
For Web Designers And Developers,https://www.smashingmagazine.com,https://www.smashingmagazine.com/feed/,ml,medium,true,"Magazine on CSS, JavaScript, front-end, accessibility, UX and design. For developers, designers and front-end engineers.","ai,design,thought,every,high"
A Website About Making Websites,https://css-tricks.com,https://css-tricks.com/feed/,art,medium,true,"Danny has several ideas for how we could use :near(), a proposed pseudo-class that detects when the pointer is near an element.","art,near,potentially,coming,browser"
Blog  |  web.dev,https://web.dev/blog,https://web.dev/feed.xml,tech,medium,true,"Our latest news, updates, and stories for developers","developer,home,stay,organized,collections"
A List Apart – For people who make websites,https://alistapart.com,https://alistapart.com/main/feed/,art,medium,true,For people who make websites,"ai,art,design,creative,visual"
Resources to Help Product Teams Ship Amazing Digital Experiences,https://blog.logrocket.com,https://blog.logrocket.com/feed,art,medium,true,Resources to Help Product Teams Ship Amazing Digital Experiences,"art,design,product,user,dev"
The Kent C. Dodds Blog,https://kentcdodds.com/blog,https://kentcdodds.com/blog/rss.xml,art,medium,true,"Join 746.05k people who have read Kent's 206 articles on JavaScript, TypeScript, React, Testing, Career, and more.","ai,art,software,programming,development"
A blog by Dan Abramov,https://overreacted.io,https://overreacted.io/atom.xml,tech,medium,true,A blog by Dan Abramov,"ai,model,art,design,programming"
Josh W. Comeau,https://joshwcomeau.com,https://www.joshwcomeau.com/rss.xml,tech,medium,true,"Friendly tutorials for developers. Focus on React, CSS, Animation, and more!","ai,model,art,design,development"
General articles • Josh W. Comeau,https://www.joshwcomeau.com/blog,https://www.joshwcomeau.com/rss.xml,tech,medium,true,"Friendly tutorials for developers. Focus on React, CSS, Animation, and more!","ai,model,art,software,development"
2ality – JavaScript and more,https://2ality.com,https://2ality.com/feeds/posts.atom,tech,medium,true,Node.js is a program that lets us run JavaScript code outside browsers – which we can use for a variety of things.,"ai,art,programming,development,code"
martinfowler.com,https://martinfowler.com,,tech,medium,true,A website on building software effectively,"ai,art,design,technology,software"
Joel on Software,https://www.joelonsoftware.com,https://www.joelonsoftware.com/feed/,tech,medium,true,"A weblog by Joel Spolsky, a programmer working in New York City, about software and software companies.","ai,model,art,design,software"
Coding Horror,https://blog.codinghorror.com,https://blog.codinghorror.com/rss/,ml,medium,true,programming and human factors,"ai,art,data,life,personal"
Stack Overflow,https://stackoverflow.blog,https://stackoverflow.blog/feed/,ml,medium,true,"Essays, opinions, and advice on the act of computer programming, from Stack Overflow.","ai,art,software,development,code"
The GitHub Blog,https://github.blog,https://github.blog/feed/,ml,medium,true,"Updates, ideas, and inspiration from GitHub to help developers build and design software.","ai,technology,software,code,tech"
Essays,https://www.paulgraham.com/articles.html,,art,medium,true,,"ai,model,art,design,artist"
Danluu,https://danluu.com,https://danluu.com/atom.xml,art,medium,true,,"ai,algorithm,art,design,software"
Increment: Planning,https://increment.com,https://increment.com/feed.xml,tech,medium,true,"This issue examines the ever-evolving practices of software planning—and how we can craft plans that enrich communication, alignment, and impact on engineering teams.","machine-learning,ai,art,software,development"
Clean Coder Blog,https://blog.cleancoder.com,http://blog.cleancoder.com/atom.xml,other,medium,true,,welcome
The Pragmatic Engineer,https://blog.pragmaticengineer.com,https://blog.pragmaticengineer.com/rss/,tech,medium,true,Observations across the software engineering industry.,"ai,model,art,creative,software"
우아한형제들 기술블로그,https://techblog.woowahan.com,https://techblog.woowahan.com/feed/,ml,medium,true,"우아한형제들의 기술, 서비스, 비전, 가치를 들려 드립니다.","ai,돌아가기,open,main,menu"
"카카오테크, 미래의 문턱을 낮추는 기술",https://tech.kakao.com,https://tech.kakao.com/feed,tech,medium,true,미래의 문턱을 낮추는 기술,"ai,모델,technology,tech,기술"
LINE ENGINEERING,https://engineering.linecorp.com/ko/blog,https://engineering.linecorp.com/ko/blog,ml,medium,true,2022-LINE-engineering-site,"ai,tech,data,sql,openchain"
NHN Cloud Meetup,https://meetup.toast.com,https://meetup.toast.com/rss,tech,medium,true,"기술을 공유하고 함께 성장해가는 개발 문화, NHN이 추구하는 가치입니다.","기술,개발,기술을,공유하고,성장해가는"
tech.inflab.com,https://tech.inflab.com,https://tech.inflab.com/rss.xml,essay,medium,true,인프랩 기술 블로그,"개발,경험,경험을,공유합니다,cdn"
Data Visualization and Statistics,https://flowingdata.com,https://flowingdata.com/feed,tech,medium,true,FlowingData,"ai,artificial-intelligence,art,visual,graphic"
"Breaking Political News, Video & Analysis-ABC News - ABC News",https://fivethirtyeight.com,https://fivethirtyeight.com/feed,other,medium,true,"ABC News is your trusted source on political news stories and videos. Get the latest coverage and analysis on everything from the Trump presidency, Senate, House and Supreme Court.","playlist,videos"
Simply Statistics,https://simplystatistics.org,,data,medium,true,"Many, including prominent scientists, seem to misunderstand the true cost of biomedical research and the fact that universities  subsidize it beyond what they receive from the NIH.","ai,artificial-intelligence,model,dataset,art"
Data Science Tutorials and More – Dataquest,https://www.dataquest.io/blog,https://www.dataquest.io/feed,data,medium,true,"Browse our data science blog to get helpful tips, tutorials & other resources on the fields of data science, data analytics & data engineering.","machine-learning,deep-learning,ai,algorithm,art"
Mode Blog,https://mode.com/blog,,essay,medium,true,Mode Analytics,"thought,thoughtspot,acquires,mode,define"
Tableau Blog,https://www.tableau.com/blog,https://www.tableau.com/feed,data,medium,true,"The latest updates on analytics, business intelligence and data visualization, with insights and tips from Tableau certified experts and the Tableau Community.","ai,visual,development,innovation,digital"
KDnuggets,https://www.kdnuggets.com,https://www.kdnuggets.com/feed/,ml,medium,true,"Data Science, Machine Learning, AI & Analytics","machine-learning,ai,artificial-intelligence,model,dataset"
Knowledge Hub for AI and Generative AI,https://www.analyticsvidhya.com/blog,https://www.analyticsvidhya.com/feed/,art,medium,true,"Learn everything about AI, Generative AI, ML, and Data Science with Analytics Vidhya Blog—the ultimate destination for hands-on articles, guides, and learning paths.","art,most,popular,articles,view"
Data Science Dojo,https://blog.datasciencedojo.com,,ml,medium,true,"Data Science Dojo blog features the most recent, and relevant articles about data science, analytics, generative AI, large language models, machine learning, and data visualization.","ai,data,agentic,conference,may"
medium.com,https://medium.com/towards-data-science,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://medium.com/towards-data-science,
Dataiku,https://blog.dataiku.com,https://www.dataiku.com/stories/blog/rss.xml,ml,medium,true,"Discover how Dataiku empowers teams across industries to leverage AI, enhance efficiency, and unlock insights through innovative solutions and robust capabilities.","machine-learning,ai,model,art,technology"
"AI, data science, and machine learning",https://www.dominodatalab.com/blog,https://domino.ai/feed.xml,ml,medium,true,"The latest in data science, machine learning, MLOps and AI. Generative AI, large language models (LLMs) and more. For data science leaders, IT leaders, and practitioners.","machine-learning,ai,model,tech,data"
Faculty insights: Thought leadership on all things AI,https://faculty.ai/blog,,ml,medium,true,"Discover insights, opinions and analysis from our expert team on everything AI, from AI safety, development and change, to industry specific content.","ai,art,development,app,tech"
www.datascience.com,https://www.datascience.com/blog,,other,medium,true,"자동 분석 실패: HTTPSConnectionPool(host='www.datascience.com', port=443): Max retries exceeded with url: /blog (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028)')))",
elitedatascience.com,https://elitedatascience.com/blog,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://elitedatascience.com/blog,
Wait But Why,https://waitbutwhy.com,https://waitbutwhy.com/feed,essay,medium,true,"A popular long-form, stick-figure-illustrated blog about almost everything.","thought,comments,read,you,know"
The Marginalian – Marginalia on our search for meaning.,https://www.brainpickings.org,https://feeds.feedburner.com/brainpickings/rss,ml,medium,true,Marginalia on our search for meaning.,"ai,art,design,drawing,artist"
Think better. Decide better. Live better.,https://fs.blog,https://www.farnamstreetblog.com/feed/,ml,medium,true,"Timeless lessons on decision making, thinking, and continuous improvement. Written by Shane Parrish.hinking, and continuous improvement.","ai,model,art,app,life"
Essays · Gwern.net,https://www.gwern.net,https://gwern.substack.com/feed,ml,medium,true,"Personal website of Gwern Branwen (writer, self-experimenter, and programmer): topics: psychology, statistics, technology, deep learning, anime. This index page is a categorized list of Gwern.net page","machine-learning,deep-learning,neural-network,ai,model"
Slate Star Codex,https://slatestarcodex.com,https://slatestarcodex.com/feed/,tech,medium,true,Thanks for bearing with me the past few months. My new blog is at https://astralcodexten.substack.com/. I’ll try to have a less unwieldy domain name working soon.,"ai,code,posted,introducing,astral"
Small Steps Toward A Much Better World,https://marginalrevolution.com,,ml,medium,true,Small Steps Toward A Much Better World,"ai,model,art,app,digital"
astralcodexten.substack.com,https://astralcodexten.substack.com,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://www.astralcodexten.com/,
ribbonfarm,https://www.ribbonfarm.com,https://www.ribbonfarm.com/feed/,ml,medium,true,constructions in magical thinking,"ai,model,design,app,personal"
Sam Altman,https://blog.samaltman.com,https://blog.samaltman.com/posts.atom,tech,medium,true,Sam Altman,"ai,model,art,creative,app"
a16z.com,https://a16z.com/blog,,other,medium,true,자동 분석 실패: 404 Client Error: Not Found for url: https://a16z.com/blog,
